year,start_date,end_date,open,close,high,low,volume,avg_daily_return,return_std,period_return
2018,2018-01-02,2018-12-28,10.0,5.83,10.48,5.41,28831061.504,-0.002107192064000502,0.024976319785044967,-0.41700000000000004
2019,2019-01-02,2019-12-31,5.83,4.75,7.67,3.99,24673347.748,-0.0005752299468023314,0.023110001565840293,-0.18524871355060035
2020,2020-01-02,2020-12-31,4.79,5.98,10.497999999999998,3.99,128847627.51599999,0.002164989236292873,0.04991908600257819,0.24843423799582465
2021,2021-01-04,2021-12-31,6.04,8.99,10.497999999999998,4.16,148303099.362,0.002452092575950898,0.03996493884584785,0.4884105960264902
2022,2022-01-04,2022-12-30,8.99,6.32,9.43,5.44,42092646.23,-0.001146796354981275,0.024815653424800615,-0.2969966629588432
2023,2023-01-03,2023-12-29,6.31,7.35,9.0,6.08,32416414.12,0.0008465523696239893,0.021124237606591656,0.16481774960380347
